Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1019E+01 .9488E+00 .5458E-01 .9145E+00
.8460E+03 .1013E+01 .9460E+00 .5441E-01 .9118E+00
.8470E+03 .9907E+00 .9307E+00 .5360E-01 .8970E+00
.8480E+03 .9897E+00 .9220E+00 .5265E-01 .8887E+00
.8490E+03 .9620E+00 .8960E+00 .5103E-01 .8636E+00
.8500E+03 .9207E+00 .8591E+00 .4884E-01 .8280E+00
.8510E+03 .9808E+00 .9067E+00 .5113E-01 .8739E+00
.8520E+03 .9714E+00 .9015E+00 .5082E-01 .8689E+00
.8530E+03 .9302E+00 .8711E+00 .4925E-01 .8396E+00
.8540E+03 .8071E+00 .7494E+00 .4202E-01 .7223E+00
.8550E+03 .8812E+00 .8272E+00 .4660E-01 .7973E+00
.8560E+03 .9654E+00 .9019E+00 .5051E-01 .8693E+00
.8570E+03 .9832E+00 .9248E+00 .5189E-01 .8913E+00
.8580E+03 .9774E+00 .9168E+00 .5121E-01 .8837E+00
.8590E+03 .9763E+00 .9185E+00 .5128E-01 .8853E+00
.8600E+03 .9765E+00 .9216E+00 .5142E-01 .8882E+00
.8610E+03 .9717E+00 .9160E+00 .5093E-01 .8829E+00
.8620E+03 .9862E+00 .9311E+00 .5169E-01 .8975E+00
.8630E+03 .1009E+01 .9531E+00 .5276E-01 .9186E+00
.8640E+03 .9588E+00 .9053E+00 .4999E-01 .8725E+00
.8650E+03 .9500E+00 .8976E+00 .4945E-01 .8651E+00
.8660E+03 .8542E+00 .8071E+00 .4435E-01 .7780E+00
.8670E+03 .8913E+00 .8424E+00 .4617E-01 .8119E+00
.8680E+03 .9697E+00 .9167E+00 .5012E-01 .8835E+00
.8690E+03 .9494E+00 .8977E+00 .4896E-01 .8652E+00
.8700E+03 .9763E+00 .9233E+00 .5023E-01 .8899E+00
.8710E+03 .9631E+00 .9107E+00 .4940E-01 .8777E+00
.8720E+03 .9594E+00 .9077E+00 .4913E-01 .8748E+00
.8730E+03 .9575E+00 .9059E+00 .4891E-01 .8732E+00
.8740E+03 .9460E+00 .8952E+00 .4821E-01 .8629E+00
.8750E+03 .9271E+00 .8769E+00 .4708E-01 .8452E+00
.8760E+03 .9370E+00 .8857E+00 .4741E-01 .8537E+00
.8770E+03 .9461E+00 .8953E+00 .4783E-01 .8629E+00
.8780E+03 .9574E+00 .9041E+00 .4811E-01 .8714E+00
.8790E+03 .9424E+00 .8904E+00 .4728E-01 .8582E+00
.8800E+03 .9220E+00 .8718E+00 .4619E-01 .8403E+00
