Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance
.8450E+03 .1014E+01 .9444E+00 .4894E-01 .9618E+00 .9128E+00
.8460E+03 .1009E+01 .9416E+00 .4878E-01 .9589E+00 .9101E+00
.8470E+03 .9859E+00 .9263E+00 .4805E-01 .9434E+00 .8954E+00
.8480E+03 .9850E+00 .9177E+00 .4720E-01 .9343E+00 .8870E+00
.8490E+03 .9574E+00 .8919E+00 .4575E-01 .9078E+00 .8620E+00
.8500E+03 .9162E+00 .8551E+00 .4379E-01 .8703E+00 .8265E+00
.8510E+03 .9760E+00 .9025E+00 .4584E-01 .9182E+00 .8723E+00
.8520E+03 .9667E+00 .8973E+00 .4556E-01 .9129E+00 .8673E+00
.8530E+03 .9257E+00 .8671E+00 .4415E-01 .8822E+00 .8381E+00
.8540E+03 .8032E+00 .7460E+00 .3767E-01 .7587E+00 .7210E+00
.8550E+03 .8769E+00 .8234E+00 .4177E-01 .8376E+00 .7958E+00
.8560E+03 .9607E+00 .8978E+00 .4527E-01 .9130E+00 .8677E+00
.8570E+03 .9785E+00 .9205E+00 .4650E-01 .9362E+00 .8897E+00
.8580E+03 .9727E+00 .9126E+00 .4590E-01 .9280E+00 .8821E+00
.8590E+03 .9716E+00 .9143E+00 .4595E-01 .9296E+00 .8837E+00
.8600E+03 .9718E+00 .9173E+00 .4607E-01 .9327E+00 .8866E+00
.8610E+03 .9670E+00 .9117E+00 .4564E-01 .9269E+00 .8812E+00
.8620E+03 .9814E+00 .9268E+00 .4632E-01 .9421E+00 .8958E+00
.8630E+03 .1005E+01 .9486E+00 .4728E-01 .9642E+00 .9169E+00
.8640E+03 .9541E+00 .9010E+00 .4479E-01 .9157E+00 .8709E+00
.8650E+03 .9454E+00 .8934E+00 .4431E-01 .9078E+00 .8635E+00
.8660E+03 .8500E+00 .8034E+00 .3975E-01 .8163E+00 .7765E+00
.8670E+03 .8869E+00 .8384E+00 .4137E-01 .8518E+00 .8104E+00
.8680E+03 .9650E+00 .9124E+00 .4491E-01 .9268E+00 .8819E+00
.8690E+03 .9448E+00 .8935E+00 .4387E-01 .9075E+00 .8636E+00
.8700E+03 .9716E+00 .9190E+00 .4501E-01 .9333E+00 .8883E+00
.8710E+03 .9584E+00 .9064E+00 .4427E-01 .9204E+00 .8761E+00
.8720E+03 .9548E+00 .9034E+00 .4403E-01 .9172E+00 .8732E+00
.8730E+03 .9528E+00 .9017E+00 .4383E-01 .9154E+00 .8715E+00
.8740E+03 .9414E+00 .8910E+00 .4320E-01 .9045E+00 .8613E+00
.8750E+03 .9226E+00 .8728E+00 .4219E-01 .8858E+00 .8436E+00
.8760E+03 .9325E+00 .8816E+00 .4249E-01 .8946E+00 .8521E+00
.8770E+03 .9415E+00 .8911E+00 .4286E-01 .9041E+00 .8613E+00
.8780E+03 .9527E+00 .8999E+00 .4312E-01 .9129E+00 .8698E+00
.8790E+03 .9378E+00 .8862E+00 .4237E-01 .8990E+00 .8566E+00
.8800E+03 .9176E+00 .8677E+00 .4140E-01 .8801E+00 .8387E+00
